username,rank,coupon,date
selloi,SuperNova Free,Affiliate-SUPERNOVAFREE,11/26/2023 4:00
greg,SuperNova Free,Affiliate-SUPERNOVAFREE,11/26/2023 4:00
valdegrace,SuperNova Free,Affiliate-SUPERNOVAFREE,11/26/2023 4:00
annemarieandrey,SuperNova Free,Affiliate-SUPERNOVAFREE,11/27/2023 4:00
sandrineberthier,NovaFree,Affiliate-NOVAFREE,11/28/2023 4:00
mayamour,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/28/2023 4:00
lindadom,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/29/2023 4:00
bernard33660,SuperNova Free,Affiliate-SUPERNOVAFREE,11/29/2023 4:00
mathias,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/30/2023 4:00
mariedns,SuperNova Free,Affiliate-SUPERNOVAFREE,11/30/2023 4:00
carolineberne,SuperNova Free,Affiliate-SUPERNOVAFREE,11/9/2023 4:00
pokerface,SuperNova Free,Affiliate-SUPERNOVAFREE,11/9/2023 4:00
jgjournalist,SuperNova Free,Affiliate-SUPERNOVAFREE,11/9/2023 4:00
